Checking account,Housing,Job,Purpose,Risk,Saving accounts,Sex,Credit_Duration_Ratio,Age_Group
moderate,own,2,radio/TV,good,little,male,368.0,Adults
rich,own,3,furniture/equipment,good,No savings,female,118.66666666666667,Mature-Seniors
moderate,own,2,repairs,bad,rich,male,100.8,Mature-Seniors
No checking,own,3,car,good,No savings,male,307.05555555555554,Adults
No checking,own,2,radio/TV,good,little,female,86.33333333333333,Young
No checking,own,2,furniture/equipment,good,little,male,229.91666666666666,Adults
No checking,own,3,car,good,little,male,111.25,Adults
little,own,2,car,bad,little,male,200.70833333333334,Adults
No checking,own,3,car,good,little,female,111.625,Young
little,rent,2,car,good,little,male,355.0,Adults
little,free,2,car,bad,little,male,282.1666666666667,Adults
little,own,2,domestic appliances,good,little,female,57.166666666666664,Young
No checking,own,2,radio/TV,good,little,male,255.22222222222223,Adults
little,own,2,furniture/equipment,good,little,male,100.55555555555556,Adults
little,own,2,car,good,little,male,114.73333333333333,Adults
moderate,rent,3,furniture/equipment,good,little,female,251.41666666666666,Adults
moderate,own,2,education,good,No savings,male,62.833333333333336,Adults
No checking,own,2,business,good,little,male,108.33333333333333,Adults
little,own,2,car,good,little,male,121.83333333333333,Mature-Seniors
little,rent,1,radio/TV,bad,little,female,69.125,Young
No checking,own,2,radio/TV,good,No savings,male,150.79166666666666,Adults
No checking,own,2,business,good,little,female,83.75757575757575,Young
No checking,own,1,car,good,little,male,194.95833333333334,Adults
moderate,rent,2,radio/TV,bad,moderate,male,128.83333333333334,Young
little,own,2,education,bad,little,female,74.66666666666667,Young
little,own,1,car,bad,little,male,72.66666666666667,Young
No checking,own,3,education,good,No savings,male,206.33333333333334,Adults
moderate,own,2,radio/TV,bad,little,male,69.16666666666667,Adults
little,rent,2,furniture/equipment,bad,little,female,173.0,Young
No checking,own,2,car,good,quite rich,male,65.87179487179488,Young
rich,own,2,radio/TV,good,little,male,214.66666666666666,Young
moderate,own,1,business,good,moderate,male,86.41666666666667,Adults
little,own,2,furniture/equipment,good,little,male,98.53333333333333,Mature-Seniors
moderate,own,1,radio/TV,good,little,female,297.75,Young
moderate,own,2,car,good,little,male,50.041666666666664,Young
little,rent,2,furniture/equipment,good,rich,female,120.73333333333333,Mature-Seniors
No checking,own,2,furniture/equipment,good,rich,female,64.0,Adults
No checking,own,2,car,good,quite rich,male,96.91666666666667,Mature-Seniors
moderate,own,3,car,bad,little,male,201.5,Mature-Seniors
No checking,own,2,radio/TV,good,little,male,256.4166666666667,Mature-Seniors
No checking,free,2,car,good,little,female,156.54166666666666,Mature-Seniors
No checking,rent,1,car,good,moderate,male,141.8,Adults
No checking,rent,2,car,good,little,male,586.3333333333334,Young
No checking,own,2,radio/TV,good,little,male,161.16666666666666,Young
moderate,free,3,business,bad,little,female,308.0740740740741,Mature-Seniors
No checking,own,2,radio/TV,good,moderate,female,206.16666666666666,Young
moderate,own,2,radio/TV,good,No savings,male,61.333333333333336,Adults
little,rent,1,car,good,little,male,176.83333333333334,Adults
little,own,2,furniture/equipment,bad,No savings,male,124.83333333333333,Young
moderate,rent,3,furniture/equipment,bad,moderate,male,250.94444444444446,Young
No checking,own,2,furniture/equipment,good,little,male,66.04166666666667,Mature-Seniors
moderate,own,1,radio/TV,good,little,male,72.27777777777777,Adults
rich,own,2,car,good,moderate,male,220.5,Young
little,own,2,car,bad,little,female,130.125,Young
little,free,2,car,good,little,male,152.58333333333334,Mature-Seniors
rich,own,2,radio/TV,good,moderate,male,125.11111111111111,Mature-Seniors
moderate,own,2,radio/TV,bad,moderate,male,50.666666666666664,Adults
little,rent,2,car,bad,little,female,50.291666666666664,Young
No checking,own,1,car,bad,No savings,male,130.9,Young
rich,own,2,car,good,quite rich,male,157.33333333333334,Adults
moderate,own,3,car,bad,moderate,male,456.6666666666667,Adults
No checking,own,2,radio/TV,good,little,male,58.875,Young
No checking,own,3,car,good,moderate,male,220.2051282051282,Mature-Seniors
little,own,2,car,bad,little,male,63.25,Young
No checking,free,3,car,good,little,male,130.16666666666666,Adults
rich,rent,2,business,good,little,male,179.13333333333333,Young
moderate,rent,2,radio/TV,good,little,male,48.75,Young
No checking,own,2,car,good,No savings,male,93.95833333333333,Mature-Seniors
little,own,2,car,good,little,female,101.5,Adults
little,own,1,car,good,little,male,226.83333333333334,Mature-Seniors
No checking,rent,2,furniture/equipment,bad,little,female,197.97222222222223,Young
little,own,2,car,good,moderate,male,200.5,Mature-Seniors
No checking,free,2,radio/TV,good,No savings,male,116.66666666666667,Adults
No checking,free,2,repairs,good,little,male,229.45833333333334,Mature-Seniors
little,own,2,radio/TV,bad,little,female,177.22222222222223,Young
little,free,2,furniture/equipment,bad,little,male,148.3125,Mature-Seniors
No checking,own,2,car,good,moderate,female,145.33333333333334,Young
moderate,own,1,radio/TV,good,little,female,61.833333333333336,Young
moderate,own,2,car,good,little,male,306.38461538461536,Adults
No checking,own,2,education,good,moderate,female,102.13333333333334,Adults
No checking,own,1,radio/TV,good,little,male,375.75,Mature-Seniors
little,rent,2,radio/TV,bad,little,male,63.94444444444444,Adults
little,own,1,car,good,little,male,110.33333333333333,Mature-Seniors
moderate,own,2,education,good,little,male,63.138888888888886,Adults
moderate,rent,2,car,bad,moderate,female,175.4,Young
No checking,rent,2,car,good,little,male,125.25,Mature-Seniors
No checking,own,2,radio/TV,good,moderate,male,54.625,Young
No checking,own,2,radio/TV,good,No savings,male,129.375,Young
rich,rent,2,education,bad,little,male,110.42857142857143,Adults
little,own,3,car,good,No savings,female,229.0,Mature-Seniors
moderate,own,2,furniture/equipment,good,little,female,200.66666666666666,Adults
little,free,3,car,bad,little,male,161.72916666666666,Mature-Seniors
rich,own,1,furniture/equipment,good,little,female,169.38888888888889,Mature-Seniors
moderate,rent,2,radio/TV,bad,little,male,127.83333333333333,Young
No checking,free,2,car,good,little,male,84.66666666666667,Mature-Seniors
little,own,2,furniture/equipment,bad,No savings,male,211.66666666666666,Adults
rich,own,1,furniture/equipment,bad,little,male,159.11111111111111,Adults
No checking,own,1,car,good,little,male,104.58333333333333,Mature-Seniors
little,free,2,car,bad,little,male,55.541666666666664,Mature-Seniors
No checking,own,2,car,good,little,female,84.25,Adults
No checking,own,2,radio/TV,good,little,male,64.66666666666667,Adults
little,own,1,radio/TV,bad,little,female,52.166666666666664,Young
No checking,free,2,car,good,No savings,male,184.54166666666666,Adults
No checking,own,2,repairs,good,No savings,female,83.0,Young
No checking,own,1,radio/TV,good,quite rich,male,291.6666666666667,Mature-Seniors
little,own,2,radio/TV,bad,little,male,145.8125,Adults
moderate,own,2,car,good,moderate,male,166.25,Young
moderate,own,3,education,good,little,female,133.22222222222223,Mature-Seniors
moderate,own,2,radio/TV,bad,little,male,110.91666666666667,Young
moderate,own,2,car,bad,moderate,female,126.55555555555556,Young
No checking,own,2,car,bad,No savings,female,238.23809523809524,Young
little,own,2,furniture/equipment,bad,little,male,148.0,Young
moderate,own,1,furniture/equipment,bad,little,male,107.11111111111111,Adults
little,free,2,car,good,No savings,male,123.5,Mature-Seniors
little,rent,1,radio/TV,bad,little,male,64.41666666666667,Young
rich,own,2,radio/TV,good,little,female,113.83333333333333,Young
moderate,free,2,car,bad,No savings,male,344.1388888888889,Adults
moderate,own,3,business,good,No savings,male,196.33333333333334,Adults
moderate,rent,2,radio/TV,good,moderate,female,64.70833333333333,Young
little,own,2,car,bad,little,male,114.33333333333333,Adults
No checking,own,2,radio/TV,good,rich,male,107.41666666666667,Adults
moderate,own,2,radio/TV,good,No savings,male,82.89583333333333,Mature-Seniors
little,own,2,radio/TV,bad,little,female,140.79166666666666,Adults
little,rent,1,furniture/equipment,bad,little,female,134.75,Young
No checking,own,2,radio/TV,good,little,male,198.46666666666667,Adults
No checking,rent,3,car,good,No savings,female,226.375,Young
little,own,1,business,good,little,female,53.733333333333334,Young
moderate,own,1,radio/TV,good,little,male,120.22222222222223,Young
No checking,own,2,furniture/equipment,good,little,female,185.86666666666667,Young
moderate,own,2,radio/TV,good,little,female,244.16666666666666,Young
No checking,own,2,education,good,No savings,female,80.29166666666667,Adults
moderate,own,2,car,bad,little,male,78.33333333333333,Young
No checking,own,1,education,good,little,male,39.041666666666664,Young
moderate,own,2,car,bad,little,male,58.666666666666664,Adults
moderate,own,1,car,good,little,male,260.3333333333333,Mature-Seniors
No checking,rent,2,furniture/equipment,good,little,female,154.22222222222223,Young
moderate,rent,1,repairs,bad,little,male,66.22222222222223,Adults
No checking,free,3,car,good,No savings,female,177.75,Mature-Seniors
little,rent,2,furniture/equipment,bad,little,female,113.27777777777777,Young
little,rent,2,car,good,little,male,311.0,Adults
little,own,1,furniture/equipment,good,little,male,107.41666666666667,Young
little,own,1,domestic appliances,bad,little,male,67.61111111111111,Mature-Seniors
little,own,2,furniture/equipment,bad,little,male,187.16666666666666,Mature-Seniors
little,own,1,radio/TV,good,little,female,32.083333333333336,Mature-Seniors
moderate,rent,2,car,good,No savings,female,81.875,Mature-Seniors
No checking,own,1,business,good,rich,female,74.85714285714286,Adults
moderate,rent,1,car,bad,little,female,113.25,Young
little,own,3,vacation/others,bad,No savings,male,56.583333333333336,Mature-Seniors
moderate,own,1,car,bad,moderate,female,155.16666666666666,Adults
little,rent,2,car,bad,little,female,60.083333333333336,Young
moderate,own,1,business,bad,little,male,176.70833333333334,Adults
No checking,own,2,car,bad,little,male,154.16666666666666,Adults
No checking,free,2,business,good,little,male,160.95833333333334,Adults
moderate,own,2,radio/TV,good,little,female,332.7142857142857,Mature-Seniors
moderate,own,2,furniture/equipment,bad,little,female,102.0,Adults
moderate,free,1,education,bad,little,female,76.54166666666667,Adults
No checking,own,3,furniture/equipment,bad,little,female,93.02777777777777,Young
rich,own,2,furniture/equipment,good,little,female,127.5,Young
little,own,2,furniture/equipment,good,quite rich,male,117.83333333333333,Young
No checking,own,3,business,good,little,male,188.58333333333334,Mature-Seniors
moderate,free,2,radio/TV,bad,moderate,female,74.19444444444444,Mature-Seniors
No checking,own,2,radio/TV,good,little,male,113.94444444444444,Adults
No checking,free,2,car,good,No savings,male,86.66666666666667,Mature-Seniors
little,own,2,domestic appliances,bad,moderate,female,61.75,Young
rich,free,1,car,bad,moderate,female,124.0,Mature-Seniors
little,own,2,radio/TV,good,rich,female,159.85714285714286,Young
little,rent,2,car,good,little,female,151.33333333333334,Young
No checking,own,2,furniture/equipment,bad,little,female,100.44444444444444,Young
moderate,own,3,business,good,No savings,male,254.25,Mature-Seniors
moderate,free,3,radio/TV,good,No savings,male,152.61666666666667,Young
little,rent,2,car,good,little,male,612.6666666666666,Adults
moderate,rent,2,furniture/equipment,bad,moderate,female,114.7,Young
No checking,own,1,car,good,little,male,53.333333333333336,Mature-Seniors
moderate,own,2,business,good,little,male,173.9047619047619,Young
No checking,own,2,car,bad,little,male,85.0,Adults
No checking,own,2,business,bad,No savings,male,81.54166666666667,Adults
little,rent,2,furniture/equipment,good,little,female,154.83333333333334,Young
little,free,2,radio/TV,bad,little,male,144.44444444444446,Mature-Seniors
No checking,own,2,radio/TV,good,No savings,male,131.93333333333334,Adults
rich,own,2,furniture/equipment,good,little,male,352.6666666666667,Mature-Seniors
moderate,own,2,car,bad,moderate,male,159.66666666666666,Young
No checking,own,2,furniture/equipment,good,quite rich,male,96.23809523809524,Adults
No checking,own,1,education,good,No savings,male,425.77777777777777,Mature-Seniors
little,own,2,radio/TV,good,little,female,152.5,Young
little,own,2,furniture/equipment,bad,little,male,86.27777777777777,Mature-Seniors
moderate,own,2,radio/TV,good,No savings,male,96.26666666666667,Young
No checking,rent,2,furniture/equipment,bad,little,female,220.0,
moderate,own,1,car,bad,little,female,56.458333333333336,Young
No checking,own,2,education,good,little,male,116.08333333333333,Mature-Seniors
No checking,own,2,radio/TV,good,quite rich,female,57.333333333333336,Young
No checking,own,2,radio/TV,good,little,male,260.8833333333333,Young
No checking,own,2,radio/TV,good,little,female,124.41666666666667,Adults
little,own,2,radio/TV,bad,little,male,104.04761904761905,Young
little,own,0,education,bad,little,female,41.666666666666664,Young
moderate,own,1,repairs,good,little,male,87.2,Adults
No checking,own,3,education,bad,moderate,male,308.2,Mature-Seniors
No checking,own,2,radio/TV,good,little,male,77.125,Adults
little,own,3,radio/TV,good,little,male,104.44444444444444,Adults
No checking,rent,2,business,bad,No savings,male,221.66666666666666,Young
little,own,2,furniture/equipment,good,little,male,152.76666666666668,Adults
No checking,own,2,car,bad,quite rich,female,115.5,Young
rich,free,2,car,bad,little,male,39.458333333333336,Adults
little,rent,1,education,bad,little,male,57.0,Mature-Seniors
little,free,3,education,good,little,male,155.75,Mature-Seniors
moderate,own,1,furniture/equipment,bad,little,male,160.16666666666666,Adults
little,own,2,car,bad,little,male,95.95833333333333,Mature-Seniors
moderate,own,3,car,bad,moderate,male,224.61111111111111,Mature-Seniors
No checking,own,2,car,good,little,male,97.75,Adults
little,free,2,car,good,little,male,283.7857142857143,Young
moderate,own,1,car,bad,little,male,74.0,Mature-Seniors
No checking,own,2,radio/TV,good,No savings,male,212.95833333333334,Adults
moderate,own,2,business,good,little,female,140.7,Young
moderate,own,2,furniture/equipment,good,little,male,353.3888888888889,Mature-Seniors
rich,rent,2,radio/TV,good,little,male,108.08333333333333,Young
little,own,2,car,bad,No savings,male,75.0,Young
No checking,own,2,furniture/equipment,good,little,male,106.71428571428571,Mature-Seniors
moderate,own,3,furniture/equipment,good,little,male,175.0,Adults
rich,own,1,education,good,little,female,174.5,Mature-Seniors
No checking,own,3,vacation/others,good,little,male,263.0833333333333,Young
moderate,own,2,furniture/equipment,good,rich,male,116.53333333333333,Adults
No checking,own,2,business,good,little,female,75.1875,Young
little,rent,2,car,bad,little,male,403.5833333333333,Mature-Seniors
rich,own,2,radio/TV,good,little,male,100.56666666666666,Mature-Seniors
No checking,own,1,business,good,moderate,male,172.45833333333334,Young
No checking,own,2,business,good,moderate,male,159.5,Adults
No checking,own,3,car,good,little,male,172.76666666666668,Mature-Seniors
No checking,own,2,car,good,quite rich,male,346.6666666666667,Young
No checking,own,1,business,bad,quite rich,male,122.85714285714286,Mature-Seniors
No checking,rent,3,radio/TV,good,little,female,151.0,Young
No checking,own,2,furniture/equipment,good,little,male,214.58333333333334,Adults
moderate,own,2,radio/TV,bad,moderate,male,77.70833333333333,Young
little,rent,1,radio/TV,good,little,male,99.33333333333333,Mature-Seniors
No checking,own,2,radio/TV,good,little,female,80.72222222222223,Young
No checking,own,2,education,good,little,female,256.3333333333333,Mature-Seniors
No checking,free,2,radio/TV,good,No savings,male,189.91666666666666,Adults
No checking,own,2,radio/TV,good,little,male,98.53333333333333,Adults
No checking,free,2,radio/TV,good,little,male,212.625,Mature-Seniors
moderate,own,1,business,good,moderate,male,273.80555555555554,Adults
No checking,free,2,car,good,No savings,male,108.78333333333333,Adults
rich,own,2,radio/TV,good,No savings,male,134.7,Young
moderate,free,2,car,good,moderate,male,79.5,Adults
No checking,own,2,radio/TV,good,moderate,male,305.8888888888889,Adults
little,own,2,car,good,rich,male,304.25,Adults
little,own,2,furniture/equipment,good,little,male,65.0,Young
moderate,own,1,repairs,good,moderate,female,175.4,Young
moderate,own,2,radio/TV,good,moderate,male,120.66666666666667,Young
little,own,1,car,good,No savings,male,786.0,Mature-Seniors
No checking,own,2,radio/TV,good,little,male,95.16666666666667,Young
No checking,rent,2,car,good,quite rich,male,206.0,Mature-Seniors
moderate,own,2,radio/TV,good,little,male,91.91666666666667,Young
No checking,own,0,car,good,little,female,77.16666666666667,Adults
No checking,own,2,radio/TV,good,little,male,100.0,Young
rich,rent,3,education,good,little,male,127.0,Mature-Seniors
No checking,rent,1,furniture/equipment,bad,quite rich,female,93.58333333333333,Young
little,free,2,car,bad,little,male,131.89583333333334,Mature-Seniors
rich,free,2,radio/TV,good,moderate,female,57.375,Mature-Seniors
moderate,own,2,business,good,moderate,male,83.43333333333334,Mature-Seniors
moderate,own,2,business,good,little,female,93.62962962962963,Adults
No checking,free,2,car,good,quite rich,female,354.93333333333334,Adults
moderate,own,2,car,bad,moderate,male,136.66666666666666,Young
moderate,rent,2,furniture/equipment,bad,little,female,247.41666666666666,Young
moderate,own,2,radio/TV,good,little,female,134.0,Young
moderate,own,1,radio/TV,good,little,male,235.33333333333334,Adults
No checking,own,3,radio/TV,good,quite rich,male,34.94444444444444,Adults
little,free,2,education,bad,little,female,199.66666666666666,Adults
No checking,own,3,car,good,No savings,male,117.9047619047619,Mature-Seniors
little,own,1,radio/TV,good,little,male,126.44444444444444,Young
moderate,own,3,car,bad,little,male,233.78333333333333,Young
No checking,own,2,car,good,No savings,male,253.2,Mature-Seniors
No checking,own,2,radio/TV,good,No savings,male,102.56666666666666,Mature-Seniors
No checking,free,3,radio/TV,good,little,male,83.61111111111111,Adults
rich,own,2,radio/TV,good,No savings,male,131.16666666666666,Adults
moderate,own,2,car,good,moderate,male,307.4,Adults
rich,own,3,radio/TV,bad,little,male,148.55555555555554,Adults
moderate,rent,2,education,bad,rich,female,72.16666666666667,Young
little,own,1,car,bad,little,female,102.33333333333333,Young
moderate,own,1,radio/TV,good,quite rich,female,87.77777777777777,Mature-Seniors
No checking,rent,2,car,bad,little,female,95.18518518518519,Young
No checking,own,1,car,good,rich,female,41.666666666666664,Mature-Seniors
No checking,own,1,radio/TV,good,quite rich,male,87.73333333333333,Mature-Seniors
little,rent,2,radio/TV,bad,little,female,104.55555555555556,Young
moderate,rent,2,business,bad,little,female,133.66666666666666,Mature-Seniors
rich,own,2,business,good,rich,male,53.125,Adults
moderate,own,2,radio/TV,good,little,male,266.7916666666667,Adults
little,rent,1,radio/TV,bad,little,male,82.79166666666667,Young
moderate,own,1,radio/TV,good,little,female,95.0,Mature-Seniors
No checking,rent,2,car,good,rich,female,108.45833333333333,Young
No checking,own,2,car,good,little,female,845.0,Adults
moderate,own,0,domestic appliances,good,No savings,female,110.83333333333333,Young
moderate,rent,3,car,bad,little,female,481.6666666666667,Young
little,own,1,car,good,moderate,male,243.33333333333334,Adults
No checking,own,3,car,good,little,male,1126.8333333333333,Mature-Seniors
moderate,rent,1,business,bad,moderate,female,142.66666666666666,Young
little,own,2,car,good,moderate,male,96.875,Adults
moderate,own,1,radio/TV,good,little,male,104.8,Young
No checking,own,2,radio/TV,good,No savings,male,150.47619047619048,Mature-Seniors
little,own,2,furniture/equipment,good,quite rich,male,103.45833333333333,Young
little,own,3,furniture/equipment,good,No savings,male,363.56410256410254,Adults
little,own,1,business,good,little,male,138.23076923076923,Young
little,rent,2,car,good,little,female,167.4,Young
little,own,1,car,bad,little,female,106.16666666666667,Adults
No checking,own,2,car,good,No savings,male,249.9047619047619,Young
No checking,own,2,car,good,little,male,201.93333333333334,Adults
little,own,2,furniture/equipment,good,little,female,71.33333333333333,Mature-Seniors
little,own,1,car,bad,little,female,54.22222222222222,Young
moderate,rent,1,business,good,moderate,female,70.08333333333333,Young
No checking,own,2,radio/TV,good,little,female,192.36666666666667,Young
No checking,free,2,repairs,bad,rich,male,129.58333333333334,Mature-Seniors
little,rent,2,car,bad,No savings,female,53.541666666666664,Adults
rich,own,0,car,good,little,male,216.5,Mature-Seniors
rich,free,2,radio/TV,bad,No savings,male,84.73333333333333,Adults
No checking,own,2,car,good,little,male,58.041666666666664,Adults
little,own,2,car,bad,little,male,57.583333333333336,Adults
No checking,own,2,car,good,No savings,female,336.3333333333333,Mature-Seniors
little,rent,2,furniture/equipment,bad,little,female,118.0,Young
little,own,1,radio/TV,good,little,male,184.5,Young
No checking,free,3,car,bad,No savings,male,603.8095238095239,Adults
No checking,own,2,car,good,moderate,male,102.625,Young
moderate,own,1,radio/TV,good,little,male,96.25,Mature-Seniors
little,own,1,furniture/equipment,bad,little,male,103.6,Adults
No checking,rent,2,car,good,No savings,female,290.1,Adults
moderate,rent,2,furniture/equipment,good,little,male,301.4166666666667,Young
No checking,own,1,radio/TV,good,little,male,137.91666666666666,Mature-Seniors
little,rent,2,car,good,No savings,female,117.16666666666667,Young
little,own,3,education,bad,little,female,224.02777777777777,Young
No checking,own,3,car,good,little,male,155.95238095238096,Adults
No checking,own,2,radio/TV,good,moderate,male,92.625,Mature-Seniors
rich,free,0,car,good,quite rich,male,123.33333333333333,Mature-Seniors
little,rent,2,car,bad,No savings,female,57.125,Young
No checking,own,2,car,good,little,male,98.19444444444444,Adults
little,own,2,radio/TV,good,little,female,194.94444444444446,Young
No checking,own,3,car,good,rich,male,158.63888888888889,Adults
moderate,own,2,repairs,good,little,female,215.11111111111111,Mature-Seniors
moderate,own,2,radio/TV,bad,little,male,126.48717948717949,Young
No checking,own,2,car,good,rich,male,80.83333333333333,Mature-Seniors
moderate,own,1,education,good,little,male,117.5,Adults
moderate,own,1,car,bad,moderate,female,69.66666666666667,Young
moderate,own,3,car,good,No savings,male,323.4,Mature-Seniors
moderate,own,1,business,good,rich,male,107.83333333333333,Adults
No checking,own,2,radio/TV,good,quite rich,male,121.5909090909091,Mature-Seniors
No checking,own,2,car,good,No savings,male,57.3125,Adults
moderate,free,2,education,bad,little,male,129.66666666666666,Mature-Seniors
little,own,2,education,bad,little,male,149.95,Young
moderate,own,2,business,bad,little,female,56.57142857142857,Adults
No checking,own,3,car,good,No savings,male,263.0416666666667,Mature-Seniors
No checking,own,2,furniture/equipment,good,No savings,male,203.5,Young
rich,free,2,furniture/equipment,good,little,male,120.5,Mature-Seniors
No checking,rent,2,furniture/equipment,good,quite rich,male,127.58333333333333,Adults
No checking,rent,2,furniture/equipment,good,moderate,female,255.66666666666666,Young
little,free,2,car,bad,No savings,male,417.27777777777777,Mature-Seniors
No checking,rent,1,furniture/equipment,good,little,female,104.83333333333333,Young
No checking,own,2,car,good,No savings,male,29.875,Mature-Seniors
moderate,own,0,car,good,No savings,male,172.11111111111111,Adults
No checking,free,2,education,good,little,male,66.54166666666667,Mature-Seniors
moderate,rent,1,radio/TV,good,little,female,99.72222222222223,Mature-Seniors
little,own,2,furniture/equipment,good,little,female,213.6,Young
No checking,own,2,radio/TV,good,No savings,male,81.33333333333333,Adults
moderate,rent,0,car,good,No savings,female,622.6666666666666,Young
little,own,2,car,bad,little,male,257.52777777777777,Young
moderate,own,1,radio/TV,good,little,male,98.33333333333333,Young
No checking,own,2,radio/TV,good,No savings,male,77.5,Mature-Seniors
moderate,free,3,car,good,little,male,221.02380952380952,Mature-Seniors
moderate,rent,0,car,bad,little,female,118.53333333333333,Young
moderate,own,2,business,good,little,male,113.375,Young
moderate,own,1,radio/TV,good,little,male,80.66666666666667,Young
little,own,2,car,bad,little,male,267.47222222222223,Young
little,own,2,domestic appliances,bad,little,male,63.5625,Mature-Seniors
little,free,2,car,bad,little,male,81.89583333333333,Mature-Seniors
moderate,rent,2,car,good,little,female,206.44444444444446,Mature-Seniors
No checking,own,2,domestic appliances,good,quite rich,male,223.0,Mature-Seniors
No checking,rent,2,radio/TV,good,little,female,259.0,Young
little,own,3,vacation/others,good,little,male,440.47222222222223,Mature-Seniors
little,own,2,radio/TV,bad,little,male,74.72222222222223,Young
No checking,own,2,car,good,little,male,91.75,Young
rich,own,2,radio/TV,good,little,male,251.33333333333334,Young
little,own,2,furniture/equipment,bad,little,male,75.33333333333333,Mature-Seniors
little,own,1,car,good,little,male,91.375,Mature-Seniors
No checking,own,3,furniture/equipment,good,little,male,210.0,Adults
little,own,2,car,good,little,male,76.28571428571429,Adults
little,rent,2,car,bad,little,female,220.33333333333334,Adults
No checking,own,2,business,bad,little,male,231.38888888888889,Adults
little,free,2,car,bad,No savings,male,231.52777777777777,Mature-Seniors
moderate,free,2,business,good,No savings,male,139.1875,Adults
No checking,own,2,business,good,quite rich,male,98.95833333333333,Mature-Seniors
little,rent,2,car,bad,little,female,67.55555555555556,Young
little,rent,2,business,bad,little,male,262.5777777777778,Young
moderate,own,2,radio/TV,good,No savings,female,211.83333333333334,Mature-Seniors
rich,own,1,radio/TV,bad,little,female,155.13333333333333,Young
little,own,2,car,bad,little,male,90.16666666666667,Mature-Seniors
No checking,own,2,radio/TV,good,No savings,female,73.83333333333333,Young
No checking,rent,1,furniture/equipment,good,little,female,150.25,Young
little,own,2,car,good,little,male,123.20833333333333,Mature-Seniors
No checking,own,2,radio/TV,good,little,male,108.79166666666667,Mature-Seniors
little,own,2,furniture/equipment,bad,little,male,143.86111111111111,Young
No checking,own,1,car,good,little,male,142.52380952380952,Young
No checking,own,2,repairs,bad,little,female,107.94444444444444,Young
No checking,own,2,business,good,little,male,64.95833333333333,Mature-Seniors
No checking,own,2,furniture/equipment,good,little,male,190.11111111111111,Mature-Seniors
moderate,own,2,furniture/equipment,good,No savings,male,189.33333333333334,Adults
No checking,rent,2,car,bad,No savings,male,375.6111111111111,Mature-Seniors
No checking,own,2,car,good,little,male,52.041666666666664,Young
little,own,2,radio/TV,good,little,male,151.55555555555554,Mature-Seniors
little,own,1,radio/TV,bad,little,male,59.083333333333336,Mature-Seniors
little,rent,2,car,bad,little,male,111.75,Adults
No checking,own,2,car,good,No savings,male,168.41666666666666,Mature-Seniors
No checking,free,2,radio/TV,good,little,male,98.06666666666666,Adults
little,free,1,car,bad,little,male,80.11111111111111,Adults
No checking,own,2,car,good,little,male,302.0833333333333,Mature-Seniors
No checking,own,2,car,good,moderate,male,61.416666666666664,Adults
No checking,own,2,education,good,No savings,female,89.4,Mature-Seniors
No checking,free,2,furniture/equipment,good,little,male,222.86666666666667,Young
little,own,2,car,bad,little,female,263.93333333333334,Young
No checking,rent,2,car,good,moderate,male,397.44444444444446,Young
No checking,own,2,car,good,rich,male,241.83333333333334,Young
No checking,own,2,business,bad,little,male,120.5,Young
little,own,2,radio/TV,bad,little,female,101.625,Adults
No checking,own,1,furniture/equipment,good,rich,male,167.62962962962962,Adults
No checking,rent,1,furniture/equipment,bad,little,male,221.0,Young
No checking,rent,2,furniture/equipment,good,quite rich,female,148.06666666666666,Young
little,own,2,radio/TV,good,little,female,132.72222222222223,Young
No checking,own,2,furniture/equipment,good,little,male,277.5833333333333,Mature-Seniors
No checking,own,2,business,good,No savings,male,205.80555555555554,Adults
little,rent,2,furniture/equipment,good,little,female,54.333333333333336,Young
No checking,own,2,furniture/equipment,good,quite rich,female,213.27777777777777,Mature-Seniors
rich,own,2,car,good,little,male,223.83333333333334,Mature-Seniors
little,own,2,business,good,moderate,male,57.583333333333336,Young
No checking,own,2,domestic appliances,good,No savings,female,58.266666666666666,Young
little,own,1,furniture/equipment,good,little,male,299.1666666666667,Young
moderate,own,2,car,good,rich,female,120.18181818181819,Mature-Seniors
little,free,3,radio/TV,good,little,male,107.77777777777777,Adults
No checking,own,2,radio/TV,good,little,male,99.86111111111111,Young
little,free,3,car,bad,little,male,158.0,Young
No checking,own,2,radio/TV,good,No savings,male,224.73333333333332,Adults
No checking,own,3,car,good,little,male,325.5833333333333,Adults
No checking,free,2,car,good,No savings,male,386.5416666666667,Mature-Seniors
moderate,own,2,car,good,No savings,male,72.7,Adults
No checking,own,0,radio/TV,good,little,female,61.0,Mature-Seniors
moderate,own,2,furniture/equipment,bad,little,male,169.04166666666666,Mature-Seniors
little,own,2,education,bad,little,female,66.25,Mature-Seniors
moderate,own,2,business,good,No savings,male,117.70833333333333,Adults
moderate,own,2,business,bad,little,male,326.5,Young
No checking,own,3,car,good,little,male,183.72222222222223,Adults
No checking,rent,2,car,good,No savings,male,279.42857142857144,Mature-Seniors
little,own,3,business,good,little,male,90.44444444444444,Mature-Seniors
No checking,own,2,radio/TV,good,little,male,121.93333333333334,Mature-Seniors
little,own,1,car,good,little,male,180.91666666666666,Adults
moderate,own,2,car,good,little,male,161.11111111111111,Adults
No checking,own,2,radio/TV,good,No savings,male,64.94444444444444,Young
No checking,own,3,car,good,No savings,male,248.52777777777777,Adults
little,rent,3,radio/TV,good,little,female,124.0952380952381,Young
